prop0,CO0,prop1,CO1,prop2,CO2,sequence
4,31,4,31,4,31,450
4,31,4,31,4,31,729
4,31,4,31,4,31,1007
4,31,4,31,4,31,1286
4,31,4,31,4,31,1564
4,31,4,31,4,31,1843
4,31,4,31,4,31,2121
4,31,4,31,4,31,2400
5,32,4,32,5,31,2679
4,31,4,31,4,32,2958
4,31,4,31,5,33,3236
4,31,4,31,4,31,3515
4,31,4,33,4,31,3793
4,33,4,31,4,31,4072
4,31,4,31,4,33,4350
4,32,4,31,4,31,4629
4,31,4,33,4,31,4908
4,31,4,31,4,31,5186
4,31,4,31,4,31,5465
5,31,4,31,4,31,5743
4,31,4,31,4,31,6022
4,31,4,31,4,31,6300
4,31,4,31,4,33,6579
4,31,4,31,5,31,6857
4,31,4,31,4,31,7137
4,31,4,31,4,31,7415
4,31,4,31,4,31,7694
4,31,4,31,4,31,7972
5,31,4,33,4,31,8251
4,31,4,31,4,32,8529
4,31,4,31,4,33,8808
4,31,4,31,4,32,9086
4,31,5,32,4,31,9365
4,32,4,31,4,31,9644
4,33,4,33,4,31,9922
4,31,4,31,4,31,10201
4,31,4,31,4,31,10479
4,31,4,31,4,32,10758
4,31,4,31,4,31,11036
4,31,4,32,4,32,11316
4,32,4,32,4,32,11594
4,31,4,32,4,31,11873
4,31,4,31,4,32,12151
4,32,4,34,4,34,12430
4,33,4,34,4,33,12708
4,33,4,34,4,34,12987
4,35,4,34,4,35,13265
4,34,4,34,4,34,13545
4,33,4,34,4,34,13824
4,33,4,34,4,34,14102
4,34,4,33,4,34,14381
4,33,4,33,4,34,14659
4,33,4,34,4,34,14938
4,34,4,33,4,34,15216
4,33,4,33,4,34,15496
7,72,9,102,9,97,15774
8,78,10,110,8,93,16053
7,80,12,112,8,89,16331
8,84,13,115,7,82,16610
9,90,13,115,8,81,16888
9,94,12,106,9,78,17167
8,98,11,99,7,67,17446
7,97,9,92,6,56,17725
7,91,8,85,6,47,18003
7,85,7,79,5,42,18282
5,69,7,75,5,38,18561
5,61,6,62,4,36,18839
4,57,4,55,4,35,19118
4,53,5,50,5,42,19397
7,71,8,94,7,63,19676
8,83,9,96,7,70,19954
8,85,11,102,8,71,20233
8,90,14,110,9,82,20511
9,98,13,121,10,93,20790
11,108,12,113,10,98,21068
12,112,9,109,11,101,21348
10,107,9,103,13,108,21626
9,103,8,95,11,102,21905
7,92,6,88,8,97,22183
6,74,5,81,7,89,22462
5,70,4,76,7,81,22740
5,61,4,67,6,74,23019
5,56,4,61,5,70,23299
4,49,5,56,4,62,23577
5,43,5,49,5,55,23856
4,39,4,40,4,48,24134
4,36,4,38,5,42,24413
4,32,4,36,4,38,24691
4,33,4,33,4,35,24970
4,33,4,35,4,35,25249
4,33,4,33,4,36,25528
4,34,4,33,4,35,25806
4,33,4,33,4,35,26085
4,33,4,33,4,35,26363
4,33,4,32,4,36,26642
4,33,4,33,4,35,26920
4,34,4,33,4,35,27200
