prop0,CO0,prop1,CO1,prop2,CO2,sequence,0,0
4,33,4,35,4,33,1,0,0
4,33,4,35,4,33,2,0,0
4,33,4,35,4,33,3,0,0
4,33,4,35,4,33,4,0,0
4,33,4,35,4,33,5,0,0
4,33,4,35,4,33,6,0,0
4,33,4,35,4,33,7,0,0
4,33,4,35,4,33,8,0,0
4,33,4,35,4,33,9,0,0
4,33,4,35,4,33,10,0,0
4,33,4,35,4,33,11,0,0
4,33,4,35,4,33,12,0,0
4,33,4,35,4,33,13,0,0
4,33,4,35,4,33,14,0,0
4,33,4,35,4,33,15,0,0
4,33,4,35,4,33,16,0,0
4,33,4,35,4,33,17,0,0
4,33,4,35,4,33,18,0,0
4,33,4,35,4,33,19,0,0
4,33,4,35,4,33,20,0,0
4,33,4,35,4,34,21,0,0
4,33,4,35,4,33,22,0,0
4,33,4,35,4,33,23,0,0
4,33,4,35,4,34,24,0,0
4,33,4,35,4,34,25,0,0
4,33,4,35,4,33,26,0,0
4,33,4,35,4,34,27,0,0
4,33,4,35,4,33,28,0,0
4,33,4,35,4,33,29,0,0
4,33,4,35,4,34,30,0,0
4,33,4,35,4,33,31,0,0
4,33,4,35,4,34,32,0,0
4,33,4,35,4,34,33,0,0
4,33,4,35,4,34,34,0,0
4,33,4,35,4,34,35,0,0
4,33,4,35,4,34,36,0,0
4,33,4,35,4,34,37,0,0
4,33,4,35,4,34,38,0,0
4,33,4,35,4,34,39,0,0
4,33,4,35,4,34,40,0,0
4,33,4,35,4,34,41,0,0
4,33,4,35,4,34,42,0,0
4,33,4,35,4,33,43,0,0
4,33,4,35,4,34,44,0,0
4,33,4,35,4,34,45,0,0
4,33,4,35,4,33,46,0,0
4,33,4,35,4,33,47,0,0
4,33,4,35,4,34,48,0,0
4,33,4,35,4,33,49,0,0
4,33,4,35,4,33,50,0,0
4,33,4,35,4,33,51,0,0
4,33,4,35,4,34,52,0,0
4,33,4,35,4,34,53,0,0
4,33,4,35,4,34,54,0,0
4,33,4,35,4,33,55,0,0
4,33,4,35,4,33,56,0,0
4,33,4,35,4,33,57,0,0
4,33,4,35,4,34,58,0,0
4,33,4,35,4,34,59,0,0
4,33,4,35,4,34,60,0,0
4,33,4,35,4,33,61,0,0
4,33,4,35,4,33,62,0,0
4,33,4,35,4,34,63,0,0
4,33,4,35,4,34,64,0,0
4,33,4,35,4,33,65,0,0
4,33,4,35,4,33,66,0,0
4,33,4,35,4,33,67,0,0
4,33,4,35,4,33,68,0,0
