prop0,CO0,prop1,CO1,prop2,CO2,sequence,0,0
3,23,3,22,3,19,0,0,0
3,23,3,21,3,19,1,0,0
3,23,3,22,3,19,2,0,0
3,23,3,22,3,19,3,0,0
3,23,3,22,3,19,4,0,0
3,23,3,21,3,19,5,0,0
3,23,3,22,3,19,6,0,0
3,23,3,22,3,19,7,0,0
3,23,3,22,3,19,8,0,0
3,22,3,22,3,19,9,0,0
3,23,3,22,3,19,10,0,0
3,23,3,22,3,19,11,0,0
3,23,3,22,3,19,12,0,0
3,23,3,22,3,19,13,0,0
3,23,3,22,3,19,14,0,0
3,23,3,22,3,19,15,0,0
3,23,3,22,3,19,16,0,0
3,23,3,21,3,19,17,0,0
3,23,3,22,3,19,18,0,0
3,23,3,22,3,19,19,0,0
3,23,3,22,3,19,20,0,0
3,23,3,22,3,19,21,0,0
3,23,3,22,3,19,22,0,0
3,23,3,22,3,19,23,0,0
3,23,3,22,3,19,24,0,0
3,23,3,22,3,19,25,0,0
3,23,3,22,3,20,26,0,0
3,23,3,22,3,19,27,0,0
3,23,3,22,3,19,28,0,0
3,23,3,22,3,19,29,0,0
3,23,3,22,3,19,30,0,0
3,23,3,22,3,20,31,0,0
3,23,3,22,3,19,32,0,0
3,23,3,22,3,19,33,0,0
3,23,3,22,3,19,34,0,0
3,23,3,22,3,19,35,0,0
3,23,3,22,3,19,36,0,0
3,23,3,22,3,20,37,0,0
3,23,3,22,3,19,38,0,0
3,23,3,22,3,19,39,0,0
3,23,3,22,3,19,40,0,0
3,23,3,22,3,19,41,0,0
3,23,3,22,3,19,42,0,0
3,23,3,22,3,19,43,0,0
3,23,3,22,3,19,44,0,0
3,23,3,22,3,20,45,0,0
3,23,3,22,3,19,46,0,0
3,23,3,22,3,19,47,0,0
3,23,3,22,3,19,48,0,0
3,23,3,22,3,19,49,0,0
3,23,3,22,3,20,50,0,0
3,23,3,22,3,20,51,0,0
3,23,3,22,3,19,52,0,0
3,23,3,22,3,19,53,0,0
3,23,3,22,3,19,54,0,0
3,23,3,21,3,19,55,0,0
3,23,3,22,3,19,56,0,0
3,23,3,21,3,19,57,0,0
3,23,3,22,3,19,58,0,0
3,22,3,21,3,19,59,0,0
3,22,3,22,3,19,60,0,0
3,23,3,22,3,19,61,0,0
3,23,3,22,3,19,62,0,0
3,23,3,22,3,19,63,0,0
3,22,3,22,3,19,64,0,0
3,22,3,22,3,19,65,0,0
3,22,3,22,3,19,66,0,0
3,22,3,22,3,19,67,0,0
3,23,3,21,3,19,68,0,0
3,22,3,22,3,19,69,0,0
3,23,3,22,3,19,70,0,0
3,23,3,22,3,19,71,0,0
3,22,3,22,3,19,72,0,0
3,22,3,22,3,19,73,0,0
3,22,3,22,3,19,74,0,0
3,23,3,22,3,19,75,0,0
3,22,3,22,3,19,76,0,0
3,22,3,22,3,19,77,0,0
3,22,3,22,3,19,78,0,0
3,22,3,21,3,19,79,0,0
3,22,3,22,3,19,80,0,0
3,22,3,22,3,19,81,0,0
3,22,3,22,3,19,82,0,0
3,22,3,22,3,19,83,0,0
3,22,3,21,3,24,84,0,0
3,24,3,24,3,21,85,0,0
3,24,3,24,3,21,86,0,0
3,24,3,24,3,22,87,0,0
3,24,3,24,3,22,88,0,0
3,24,3,24,3,22,89,0,0
3,24,3,24,3,22,90,0,0
3,24,3,24,3,22,91,0,0
3,24,3,24,3,22,92,0,0
3,24,3,25,3,22,93,0,0
3,24,3,24,3,22,94,0,0
3,24,3,25,3,22,95,0,0
3,24,3,25,3,22,96,0,0
3,24,3,25,3,22,97,0,0
3,24,3,26,3,22,98,0,0
3,24,3,25,3,22,99,0,0
3,24,3,25,3,22,100,0,0
3,24,3,25,3,22,101,0,0
3,24,3,25,3,22,102,0,0
3,24,3,25,3,22,103,0,0
3,24,3,26,3,22,104,0,0
3,24,3,26,3,22,105,0,0
3,24,3,26,3,22,106,0,0
3,24,3,25,3,22,107,0,0
3,24,3,25,3,22,108,0,0
3,24,3,25,3,22,109,0,0
3,24,3,25,3,22,110,0,0
3,24,3,25,3,22,111,0,0
3,24,3,26,3,22,112,0,0
3,24,3,26,3,22,113,0,0
3,24,3,25,3,22,114,0,0
3,24,3,26,3,22,115,0,0
3,24,3,25,3,22,116,0,0
3,24,3,26,3,22,117,0,0
3,24,3,25,3,22,118,0,0
3,24,3,26,3,22,119,0,0
3,24,3,26,3,22,120,0,0
3,24,3,26,3,22,121,0,0
3,24,3,26,3,22,122,0,0
3,24,3,26,3,22,123,0,0
3,24,3,26,3,22,124,0,0
3,24,3,25,3,22,125,0,0
3,24,3,26,3,22,126,0,0
3,26,3,26,3,22,127,0,0
3,24,3,26,3,22,128,0,0
3,24,3,26,3,22,129,0,0
3,24,3,26,3,22,130,0,0
3,24,3,26,3,22,131,0,0
3,26,3,26,3,22,132,0,0
3,24,3,26,3,22,133,0,0
3,24,3,26,3,22,134,0,0
3,24,3,26,3,22,135,0,0
3,24,3,26,3,22,136,0,0
3,24,3,26,3,22,137,0,0
3,26,3,26,3,22,138,0,0
3,24,3,26,3,22,139,0,0
3,24,3,26,3,22,140,0,0
3,26,3,26,3,22,141,0,0
3,24,3,26,3,22,142,0,0
3,24,3,26,3,22,143,0,0
3,26,3,26,3,22,144,0,0
3,26,3,26,3,22,145,0,0
3,26,3,26,3,22,146,0,0
3,24,3,26,3,22,147,0,0
3,24,3,26,3,22,148,0,0
3,24,3,26,3,22,149,0,0
3,26,3,26,3,22,150,0,0
3,26,3,26,3,22,151,0,0
3,24,3,26,3,22,152,0,0
3,26,3,26,3,22,153,0,0
3,26,3,26,3,22,154,0,0
3,24,3,26,3,22,155,0,0
3,26,3,26,3,22,156,0,0
3,24,3,26,3,22,157,0,0
3,26,3,26,3,22,158,0,0
3,24,3,26,3,22,159,0,0
3,26,3,26,3,22,160,0,0
3,24,3,26,3,22,161,0,0
3,24,3,26,3,22,162,0,0
3,26,3,26,3,22,163,0,0
3,26,3,26,3,22,164,0,0
3,24,3,26,3,22,165,0,0
3,26,3,26,3,22,166,0,0
3,26,3,26,3,22,167,0,0
3,26,3,26,3,22,168,0,0
3,24,3,26,3,22,169,0,0
3,26,3,26,3,22,170,0,0
3,24,3,26,3,22,171,0,0
3,24,3,26,3,22,172,0,0
3,26,3,26,3,22,173,0,0
3,26,3,26,3,22,174,0,0
3,24,3,26,3,22,175,0,0
3,26,3,26,3,22,176,0,0
3,24,3,26,3,22,177,0,0
3,26,3,26,3,22,178,0,0
3,24,3,26,3,22,179,0,0
3,26,3,26,3,22,180,0,0
3,26,3,26,3,22,181,0,0
3,24,3,26,3,22,182,0,0
3,26,3,26,3,22,183,0,0
3,24,3,26,3,22,184,0,0
3,24,3,26,3,22,185,0,0
3,26,3,26,3,22,186,0,0
3,26,3,26,3,22,187,0,0
3,24,3,26,3,22,188,0,0
3,26,3,26,3,22,189,0,0
3,26,3,26,3,22,190,0,0
3,24,3,26,3,22,191,0,0
3,26,3,26,3,22,192,0,0
3,24,3,26,3,22,193,0,0
3,24,3,26,3,22,194,0,0
3,24,3,26,3,22,195,0,0
3,24,3,26,3,22,196,0,0
3,24,3,26,3,22,197,0,0
3,26,3,26,3,22,198,0,0
3,26,3,26,3,22,199,0,0
3,26,3,26,3,22,200,0,0
3,24,3,26,3,22,201,0,0
3,26,3,26,3,22,202,0,0
3,26,3,26,3,22,203,0,0
3,26,3,26,3,22,204,0,0
3,24,3,25,3,22,205,0,0
3,26,3,26,3,22,206,0,0
3,26,3,26,3,23,207,0,0
3,26,3,26,3,23,208,0,0
