prop0,CO0,prop1,CO1,prop2,CO2,sequence
3,23,3,22,3,19,1
3,23,3,21,3,19,2
3,23,3,22,3,19,3
3,23,3,22,3,19,4
3,23,3,22,3,19,5
3,23,3,21,3,19,6
3,23,3,22,3,19,7
3,23,3,22,3,19,8
3,23,3,22,3,19,9
3,22,3,22,3,19,10
3,23,3,22,3,19,11
3,23,3,22,3,19,12
3,23,3,22,3,19,13
3,23,3,22,3,19,14
3,23,3,22,3,19,15
3,23,3,22,3,19,16
3,23,3,22,3,19,17
3,23,3,21,3,19,18
3,23,3,22,3,19,19
3,23,3,22,3,19,20
3,23,3,22,3,19,21
3,23,3,22,3,19,22
3,23,3,22,3,19,23
3,23,3,22,3,19,24
3,23,3,22,3,19,25
3,23,3,22,3,19,26
3,23,3,22,3,20,27
3,23,3,22,3,19,28
3,23,3,22,3,19,29
3,23,3,22,3,19,30
3,23,3,22,3,19,31
3,23,3,22,3,20,32
3,23,3,22,3,19,33
3,23,3,22,3,19,34
3,23,3,22,3,19,35
3,23,3,22,3,19,36
3,23,3,22,3,19,37
3,23,3,22,3,20,38
3,23,3,22,3,19,39
3,23,3,22,3,19,40
3,23,3,22,3,19,41
3,23,3,22,3,19,42
3,23,3,22,3,19,43
3,23,3,22,3,19,44
3,23,3,22,3,19,45
3,23,3,22,3,20,46
3,23,3,22,3,19,47
3,23,3,22,3,19,48
3,23,3,22,3,19,49
3,23,3,22,3,19,50
3,23,3,22,3,20,51
3,23,3,22,3,20,52
3,23,3,22,3,19,53
3,23,3,22,3,19,54
3,23,3,22,3,19,55
3,23,3,21,3,19,56
3,23,3,22,3,19,57
3,23,3,21,3,19,58
3,23,3,22,3,19,59
3,22,3,21,3,19,60
3,22,3,22,3,19,61
3,23,3,22,3,19,62
3,23,3,22,3,19,63
3,23,3,22,3,19,64
3,22,3,22,3,19,65
3,22,3,22,3,19,66
3,22,3,22,3,19,67
3,22,3,22,3,19,68
3,23,3,21,3,19,69
3,22,3,22,3,19,70
3,23,3,22,3,19,71
3,23,3,22,3,19,72
3,22,3,22,3,19,73
3,22,3,22,3,19,74
3,22,3,22,3,19,75
3,23,3,22,3,19,76
3,22,3,22,3,19,77
3,22,3,22,3,19,78
3,22,3,22,3,19,79
3,22,3,21,3,19,80
3,22,3,22,3,19,81
3,22,3,22,3,19,82
3,22,3,22,3,19,83
3,22,3,22,3,19,84
3,22,3,21,3,24,85
3,24,3,24,3,21,86
3,24,3,24,3,21,87
3,24,3,24,3,22,88
3,24,3,24,3,22,89
3,24,3,24,3,22,90
3,24,3,24,3,22,91
3,24,3,24,3,22,92
3,24,3,24,3,22,93
3,24,3,25,3,22,94
3,24,3,24,3,22,95
3,24,3,25,3,22,96
3,24,3,25,3,22,97
3,24,3,25,3,22,98
3,24,3,26,3,22,99
3,24,3,25,3,22,100
3,24,3,25,3,22,101
3,24,3,25,3,22,102
3,24,3,25,3,22,103
3,24,3,25,3,22,104
3,24,3,26,3,22,105
3,24,3,26,3,22,106
3,24,3,26,3,22,107
3,24,3,25,3,22,108
3,24,3,25,3,22,109
3,24,3,25,3,22,110
3,24,3,25,3,22,111
3,24,3,25,3,22,112
3,24,3,26,3,22,113
3,24,3,26,3,22,114
3,24,3,25,3,22,115
3,24,3,26,3,22,116
3,24,3,25,3,22,117
3,24,3,26,3,22,118
3,24,3,25,3,22,119
3,24,3,26,3,22,120
3,24,3,26,3,22,121
3,24,3,26,3,22,122
3,24,3,26,3,22,123
3,24,3,26,3,22,124
3,24,3,26,3,22,125
3,24,3,25,3,22,126
3,24,3,26,3,22,127
3,26,3,26,3,22,128
3,24,3,26,3,22,129
3,24,3,26,3,22,130
3,24,3,26,3,22,131
3,24,3,26,3,22,132
3,26,3,26,3,22,133
3,24,3,26,3,22,134
3,24,3,26,3,22,135
3,24,3,26,3,22,136
3,24,3,26,3,22,137
3,24,3,26,3,22,138
3,26,3,26,3,22,139
3,24,3,26,3,22,140
3,24,3,26,3,22,141
3,26,3,26,3,22,142
3,24,3,26,3,22,143
3,24,3,26,3,22,144
3,26,3,26,3,22,145
3,26,3,26,3,22,146
