prop0,CO0,prop1,CO1,prop2,CO2,sequence,0,0
4,33,4,33,4,34,1,0,0
4,33,4,33,4,34,2,0,0
4,33,4,33,4,34,3,0,0
4,33,4,33,4,34,4,0,0
4,33,4,33,4,34,5,0,0
4,33,4,33,4,34,6,0,0
4,33,4,33,4,34,7,0,0
4,33,4,33,4,34,8,0,0
4,33,4,33,4,34,9,0,0
4,33,4,33,4,34,10,0,0
4,33,4,33,4,34,11,0,0
4,33,4,33,4,34,12,0,0
4,33,4,33,4,34,13,0,0
4,33,4,33,4,34,14,0,0
4,33,4,33,4,34,15,0,0
4,33,4,33,4,34,16,0,0
4,33,4,33,4,34,17,0,0
4,33,4,33,4,34,18,0,0
4,33,4,33,4,34,19,0,0
4,33,4,33,4,34,20,0,0
4,33,4,33,4,34,21,0,0
4,33,4,33,4,34,22,0,0
4,33,4,33,4,34,23,0,0
4,33,4,33,4,34,24,0,0
4,33,4,33,4,34,25,0,0
4,33,4,33,4,34,26,0,0
4,33,4,33,4,34,27,0,0
4,33,4,33,4,34,28,0,0
4,33,4,33,4,34,29,0,0
4,33,4,33,4,34,30,0,0
4,33,4,33,4,34,31,0,0
4,33,4,33,4,34,32,0,0
4,33,4,33,4,34,33,0,0
4,31,4,28,4,28,34,0,0
4,29,4,28,4,28,35,0,0
4,29,4,28,4,28,36,0,0
4,29,4,28,4,28,37,0,0
4,29,4,28,4,28,38,0,0
4,29,4,28,4,28,39,0,0
4,29,4,28,4,28,40,0,0
4,29,4,28,4,28,41,0,0
4,29,4,28,4,28,42,0,0
4,29,3,28,4,28,43,0,0
4,29,3,28,4,28,44,0,0
4,29,3,27,4,28,45,0,0
4,29,4,27,4,28,46,0,0
4,29,3,27,4,28,47,0,0
4,29,3,27,4,28,48,0,0
4,29,3,27,4,28,49,0,0
4,29,3,27,4,28,50,0,0
4,29,3,27,4,28,51,0,0
4,29,3,27,4,28,52,0,0
4,29,3,27,4,28,53,0,0
4,29,3,27,4,28,54,0,0
4,29,3,27,4,27,55,0,0
4,29,3,27,4,28,56,0,0
