prop0,CO0,prop1,CO1,prop2,CO2,sequence
4,32,4,32,4,31,1
4,32,4,32,4,30,2
4,32,4,32,4,30,3
4,32,4,32,4,30,4
4,32,4,32,4,31,5
4,32,4,32,4,30,6
4,32,4,32,4,31,7
4,32,4,32,4,30,8
4,32,4,32,4,30,9
4,32,4,32,4,30,10
4,32,4,32,4,30,11
4,32,4,32,4,30,12
4,32,4,32,4,30,13
4,32,4,32,4,30,14
4,32,4,32,4,30,15
4,32,4,32,4,30,16
4,32,4,32,4,30,17
4,32,4,32,4,30,18
4,32,4,32,4,30,19
4,32,4,32,4,30,20
4,32,4,32,4,30,21
4,32,4,32,4,30,22
4,32,4,32,4,30,23
4,32,4,32,4,30,24
4,32,4,32,4,30,25
4,32,4,32,4,30,26
4,32,4,32,4,30,27
4,32,4,32,4,30,28
4,32,4,32,4,30,29
4,32,4,32,4,30,30
4,32,4,32,4,30,31
4,32,4,32,4,30,32
4,32,4,32,4,30,33
4,32,4,32,4,30,34
4,30,4,32,4,30,35
4,32,4,32,4,30,36
4,30,4,32,4,30,37
4,30,4,32,4,30,38
4,30,4,32,4,30,39
4,30,4,32,4,30,40
4,30,4,32,4,30,41
4,30,4,32,4,30,42
4,30,4,32,4,30,43
4,32,4,32,4,30,44
4,30,4,32,4,30,45
4,30,4,32,4,30,46
4,32,4,32,4,30,47
4,30,4,32,4,30,48
4,32,4,32,4,30,49
4,30,4,32,4,30,50
4,30,4,32,4,30,51
4,30,4,32,4,30,52
4,30,4,32,4,30,53
4,30,4,32,4,30,54
4,30,4,32,4,30,55
4,30,4,32,4,30,56
4,30,4,32,4,30,57
4,30,4,32,4,30,58
4,30,4,32,4,30,59
4,30,4,32,4,30,60
4,30,4,32,4,30,61
4,30,4,32,4,30,62
4,30,4,32,4,30,63
4,30,4,32,4,30,64
4,30,4,32,4,30,65
4,32,4,32,4,30,66
4,30,4,32,4,30,67
4,30,4,32,4,30,68
4,30,4,32,4,30,69
4,30,4,32,4,30,70
4,30,4,32,4,30,71
4,30,4,32,4,30,72
4,32,4,32,4,30,73
4,30,4,32,4,30,74
4,32,4,32,4,30,75
4,32,4,32,4,30,76
4,30,4,32,4,30,77
4,30,4,32,4,30,78
4,30,4,32,4,30,79
4,32,4,32,4,30,80
4,30,4,32,4,30,81
4,30,4,32,4,30,82
4,30,4,32,4,30,83
4,30,4,32,4,30,84
4,30,4,32,4,30,85
4,30,4,32,4,30,86
4,32,4,32,4,30,87
4,32,4,32,4,30,88
4,32,4,32,4,30,89
4,32,4,32,4,30,90
4,32,4,32,4,30,91
4,32,4,32,4,30,92
4,32,4,32,4,30,93
4,32,4,32,4,30,94
4,32,4,32,4,30,95
4,32,4,32,4,30,96
4,32,4,32,4,30,97
4,32,4,32,4,30,98
4,32,4,32,4,30,99
4,32,4,32,4,30,100
4,32,4,32,4,30,101
4,32,4,32,4,30,102
4,32,4,32,4,30,103
4,32,4,32,4,30,104
4,32,4,32,4,30,105
4,32,4,32,4,30,106
4,32,4,32,4,30,107
4,32,4,32,4,30,108
4,32,4,32,4,30,109
4,32,4,32,4,30,110
4,32,4,32,4,30,111
4,32,4,32,4,30,112
4,32,4,32,4,30,113
4,32,4,32,4,30,114
4,32,4,32,4,30,115
4,30,4,32,4,29,116
4,30,4,32,4,29,117
4,30,4,32,4,30,118
4,30,4,32,4,30,119
4,30,4,32,4,30,120
4,30,4,32,4,30,121
4,30,4,32,4,30,122
4,30,4,32,4,30,123
4,32,4,32,4,30,124
4,30,4,32,4,30,125
4,32,4,32,4,30,126
4,30,4,32,4,30,127
4,30,4,32,4,30,128
4,30,4,32,4,30,129
4,30,4,32,4,30,130
4,30,4,32,4,30,131
4,30,4,32,4,29,132
4,30,4,32,4,30,133
4,30,4,32,4,30,134
4,30,4,32,4,30,135
4,32,4,32,4,30,136
4,30,4,32,4,30,137
4,30,4,31,4,30,138
4,30,4,32,4,30,139
4,30,4,32,4,30,140
4,32,4,32,4,30,141
4,30,4,32,4,30,142
4,30,4,32,4,30,143
4,30,4,32,4,30,144
4,30,4,32,4,30,145
4,32,4,32,4,30,146
4,30,4,32,4,30,147
4,32,4,32,4,30,148
4,32,4,32,4,30,149
4,32,4,32,4,30,150
4,32,4,32,4,30,151
4,32,4,32,4,31,152
4,30,4,32,4,31,153
4,32,4,32,4,33,154
4,30,4,32,4,33,155
4,30,4,32,4,33,156
4,30,4,32,4,33,157
4,30,4,32,4,33,158
4,32,4,32,4,33,159
4,32,4,32,4,33,160
4,32,4,32,4,33,161
4,32,4,32,4,33,162
4,32,4,32,4,33,163
4,32,4,32,4,33,164
4,32,4,32,4,33,165
4,32,4,32,4,33,166
4,32,4,32,4,31,167
4,32,4,32,4,31,168
4,32,4,32,4,31,169
4,32,4,32,4,31,170
4,32,4,32,4,31,171
4,32,4,32,4,31,172
4,32,4,32,4,31,173
4,32,4,32,4,31,174
4,32,4,32,4,31,175
4,32,4,32,4,33,176
4,32,4,32,4,33,177
4,32,4,32,4,33,178
4,32,4,32,4,33,179
4,32,4,32,4,33,180
4,32,4,32,4,33,181
4,32,4,32,4,33,182
4,32,4,32,4,33,183
4,32,4,32,4,33,184
4,32,4,32,4,33,185
4,32,4,32,4,31,186
4,32,4,33,4,31,187
4,32,4,32,4,31,188
4,32,4,32,4,31,189
4,32,4,32,4,31,190
4,32,4,32,4,31,191
4,32,4,32,4,31,192
4,32,4,32,4,31,193
4,32,4,32,4,31,194
4,32,4,32,4,31,195
4,32,4,32,4,31,196
4,30,4,32,4,31,197
4,32,4,32,4,31,198
4,32,4,32,4,31,199
4,30,4,32,4,31,200
4,32,4,32,4,31,201
4,32,4,32,4,31,202
4,32,4,32,4,31,203
4,30,4,32,4,31,204
4,32,4,32,4,31,205
4,32,4,32,4,31,206
4,32,4,32,4,31,207
4,32,4,32,4,31,208
4,32,4,32,4,31,209
4,32,4,32,4,31,210
4,32,4,33,4,31,211
4,32,4,32,4,31,212
4,32,4,32,4,31,213
4,32,4,32,4,31,214
4,32,4,32,4,31,215
4,32,4,32,4,31,216
4,32,4,33,4,30,217
4,32,4,32,4,31,218
4,32,4,32,4,30,219
4,32,4,32,4,31,220
4,32,4,32,4,31,221
4,32,4,32,4,31,222
4,32,4,32,4,31,223
4,30,4,32,4,30,224
4,30,4,33,4,30,225
4,32,4,35,4,31,226
4,32,4,35,4,31,227
4,32,4,35,4,31,228
4,32,4,35,4,33,229
4,32,4,35,4,33,230
4,32,4,33,4,31,231
4,32,4,33,4,31,232
4,32,4,33,4,33,233
4,32,4,33,4,31,234
4,32,4,33,4,31,235
4,32,4,33,4,31,236
4,32,4,33,4,31,237
4,32,4,33,4,31,238
4,32,4,33,4,31,239
4,32,4,33,4,31,240
4,32,4,33,4,31,241
4,32,4,33,4,31,242
4,32,4,33,4,31,243
4,32,4,32,4,31,244
4,32,4,32,4,31,245
4,32,4,32,4,31,246
4,32,4,32,4,31,247
4,32,4,33,4,31,248
4,32,4,32,4,31,249
4,32,4,33,4,31,250
4,32,4,32,4,31,251
4,32,4,33,4,31,252
4,32,4,33,4,31,253
4,32,4,33,4,33,254
4,32,4,33,4,36,255
4,32,4,35,4,36,256
4,32,4,35,4,38,257
4,32,4,35,5,40,258
4,32,4,35,5,40,259
4,32,4,33,5,40,260
4,32,4,33,5,40,261
4,32,4,33,5,38,262
4,32,4,33,4,38,263
4,32,4,33,4,38,264
4,32,4,33,4,36,265
4,32,4,33,4,36,266
4,32,4,33,4,36,267
4,32,4,33,4,36,268
4,32,4,33,4,36,269
4,32,4,33,4,36,270
4,32,4,33,4,36,271
4,32,4,33,4,34,272
4,32,4,33,4,34,273
4,32,4,32,4,34,274
4,32,4,32,4,33,275
4,32,4,32,4,33,276
4,32,4,32,4,33,277
4,32,4,32,4,33,278
4,32,4,32,4,33,279
4,30,4,32,4,33,280
4,32,4,32,4,33,281
4,30,5,39,5,38,282
4,36,5,39,4,38,283
4,36,5,39,4,38,284
4,36,5,39,5,44,285
5,39,5,44,5,46,286
5,39,5,46,5,46,287
5,39,5,46,5,46,288
5,39,5,46,5,46,289
5,39,5,46,5,44,290
5,39,5,46,5,44,291
5,39,5,44,5,44,292
5,39,5,44,5,44,293
5,39,5,44,5,44,294
5,39,5,44,5,44,295
5,39,5,44,5,44,296
5,39,5,44,5,44,297
5,39,5,44,5,44,298
