prop0,CO0,prop1,CO1,prop2,CO2,sequence,0,0
4,30,5,41,5,41,1,0,0
4,30,5,41,5,41,2,0,0
4,30,5,41,5,41,3,0,0
4,30,5,41,5,41,4,0,0
4,30,5,41,5,41,5,0,0
4,30,5,39,5,41,6,0,0
4,30,5,41,5,41,7,0,0
4,30,5,41,5,41,8,0,0
4,30,5,39,5,41,9,0,0
4,30,5,39,5,41,10,0,0
4,30,5,39,5,41,11,0,0
4,30,5,39,5,41,12,0,0
4,30,5,39,5,41,13,0,0
4,30,5,39,5,41,14,0,0
4,30,5,39,5,41,15,0,0
4,30,5,41,5,41,16,0,0
4,30,5,41,5,41,17,0,0
4,30,5,41,5,41,18,0,0
4,30,5,39,5,41,19,0,0
4,30,5,41,5,41,20,0,0
4,30,5,41,5,41,21,0,0
4,30,5,39,5,41,22,0,0
4,30,5,41,5,41,23,0,0
4,30,5,41,5,41,24,0,0
4,30,5,41,5,41,25,0,0
4,30,5,39,5,41,26,0,0
4,30,5,39,5,41,27,0,0
4,30,5,39,5,41,28,0,0
4,30,5,41,5,41,29,0,0
4,30,5,39,5,41,30,0,0
4,28,5,41,5,41,31,0,0
4,30,5,41,5,41,32,0,0
4,30,5,39,5,41,33,0,0
4,30,5,39,5,38,34,0,0
4,30,5,41,5,38,35,0,0
4,30,5,41,5,38,36,0,0
4,30,5,39,5,38,37,0,0
4,30,5,39,5,38,38,0,0
4,30,5,41,5,38,39,0,0
4,30,5,41,5,38,40,0,0
4,30,5,39,5,38,41,0,0
4,30,5,41,5,38,42,0,0
4,30,5,39,5,38,43,0,0
4,30,5,39,5,38,44,0,0
4,30,13,219,23,335,45,0,0
4,33,15,179,20,240,46,0,0
4,35,15,179,17,217,47,0,0
4,35,14,168,113,2907,48,0,0
5,38,14,158,113,2907,49,0,0
5,38,13,158,54,882,50,0,0
5,42,14,179,31,378,51,0,0
6,50,24,370,17,217,52,0,0
8,93,32,574,14,162,53,0,0
13,152,37,574,11,114,54,0,0
12,118,27,370,9,90,55,0,0
10,104,21,292,9,98,56,0,0
9,93,21,292,10,105,57,0,0
9,93,19,252,11,124,58,0,0
8,83,18,219,12,135,59,0,0
8,75,16,205,14,162,60,0,0
8,75,15,179,15,178,61,0,0
7,67,14,168,17,217,62,0,0
7,67,13,158,18,240,63,0,0
6,61,13,149,20,267,64,0,0
6,61,12,140,21,299,65,0,0
6,61,12,132,21,299,66,0,0
6,61,11,125,23,335,67,0,0
6,55,11,118,23,378,68,0,0
6,55,10,112,26,378,69,0,0
6,55,10,106,26,378,70,0,0
6,55,10,106,26,429,71,0,0
6,55,10,100,28,429,72,0,0
6,50,10,95,28,429,73,0,0
6,50,9,95,31,489,74,0,0
6,50,9,91,31,489,75,0,0
6,50,9,91,31,560,76,0,0
6,50,9,91,34,560,77,0,0
6,50,9,91,38,647,78,0,0
6,50,8,86,38,647,79,0,0
6,50,8,82,42,752,80,0,0
5,50,8,82,42,882,81,0,0
5,46,8,78,48,882,82,0,0
5,46,8,78,48,882,83,0,0
5,46,8,78,42,752,84,0,0
5,46,8,78,42,647,85,0,0
5,46,8,78,38,647,86,0,0
5,46,8,82,34,560,87,0,0
5,46,8,82,34,560,88,0,0
5,46,8,82,34,489,89,0,0
5,46,8,82,31,489,90,0,0
5,46,8,82,31,489,91,0,0
5,46,8,82,31,489,92,0,0
5,46,8,78,31,489,93,0,0
5,42,8,78,28,429,94,0,0
5,42,8,74,28,429,95,0,0
5,42,8,74,28,429,96,0,0
5,42,7,71,28,429,97,0,0
5,42,7,68,28,429,98,0,0
5,42,7,65,26,378,99,0,0
5,38,7,62,26,378,100,0,0
5,38,7,62,26,378,101,0,0
