prop0,CO0,prop1,CO1,prop2,CO2,sequence,0,0
6,57,7,70,5,46,1,0,0
6,57,7,70,5,46,2,0,0
6,57,7,70,5,46,3,0,0
6,57,7,70,5,46,4,0,0
6,57,7,70,5,46,5,0,0
6,57,7,70,5,46,6,0,0
6,57,7,70,5,46,7,0,0
6,57,7,70,5,46,8,0,0
6,57,7,70,5,46,9,0,0
6,57,7,70,5,46,10,0,0
6,57,7,70,5,46,11,0,0
6,57,7,70,5,46,12,0,0
6,57,7,70,5,46,13,0,0
6,57,7,65,5,46,14,0,0
6,57,7,65,5,46,15,0,0
6,52,7,65,5,46,16,0,0
6,52,7,65,5,46,17,0,0
6,52,7,65,5,46,18,0,0
6,52,7,65,5,46,19,0,0
6,52,7,65,5,46,20,0,0
6,52,7,65,5,42,21,0,0
6,52,7,65,5,42,22,0,0
6,52,7,65,5,42,23,0,0
6,52,7,65,5,42,24,0,0
6,52,7,65,5,42,25,0,0
6,52,7,65,5,42,26,0,0
6,52,7,65,5,42,27,0,0
6,52,7,65,5,42,28,0,0
6,52,7,65,5,42,29,0,0
6,52,7,65,5,42,30,0,0
6,52,7,65,5,42,31,0,0
6,52,7,65,5,42,32,0,0
6,52,7,65,5,42,33,0,0
6,52,7,65,5,42,34,0,0
6,52,7,65,5,42,35,0,0
6,52,7,65,5,42,36,0,0
6,52,7,65,5,42,37,0,0
6,52,7,65,5,42,38,0,0
6,52,7,65,5,42,39,0,0
6,52,7,65,5,42,40,0,0
6,52,7,65,5,42,41,0,0
6,52,7,65,5,42,42,0,0
6,52,7,60,5,42,43,0,0
6,52,7,60,5,42,44,0,0
6,52,7,65,5,42,45,0,0
6,52,7,60,5,42,46,0,0
6,52,7,60,5,42,47,0,0
6,52,6,60,5,42,48,0,0
6,52,6,60,5,42,49,0,0
6,52,6,60,5,42,50,0,0
6,52,6,60,5,42,51,0,0
6,52,6,60,5,42,52,0,0
6,52,6,56,5,39,53,0,0
6,52,6,60,5,42,54,0,0
6,52,6,60,5,42,55,0,0
6,52,6,60,5,42,56,0,0
6,52,6,60,5,42,57,0,0
6,52,6,60,5,39,58,0,0
6,52,6,60,5,42,59,0,0
6,52,6,60,5,39,60,0,0
6,52,6,60,5,39,61,0,0
6,52,6,60,5,39,62,0,0
6,52,6,60,5,39,63,0,0
6,52,6,60,5,39,64,0,0
5,52,6,60,5,39,65,0,0
6,52,6,60,5,39,66,0,0
5,52,6,60,5,39,67,0,0
5,47,6,56,5,39,68,0,0
5,47,6,56,5,39,69,0,0
5,52,6,56,5,39,70,0,0
5,47,6,56,5,39,71,0,0
5,47,6,56,5,39,72,0,0
5,47,6,56,5,39,73,0,0
5,47,6,56,5,39,74,0,0
5,47,6,56,5,39,75,0,0
5,47,6,53,5,39,76,0,0
5,47,6,56,5,39,77,0,0
5,47,6,56,5,39,78,0,0
5,47,6,56,5,39,79,0,0
5,47,6,56,5,39,80,0,0
5,47,6,53,5,39,81,0,0
5,47,6,53,4,39,82,0,0
5,47,6,53,4,36,83,0,0
5,47,6,53,4,36,84,0,0
5,47,6,53,4,39,85,0,0
5,47,6,53,4,36,86,0,0
5,47,6,53,4,39,87,0,0
5,47,6,53,4,36,88,0,0
5,47,6,53,4,36,89,0,0
5,47,6,53,5,36,90,0,0
5,43,6,53,4,36,91,0,0
5,47,6,53,4,36,92,0,0
5,43,6,53,4,36,93,0,0
5,47,6,53,4,36,94,0,0
5,43,6,53,4,36,95,0,0
5,43,6,53,4,36,96,0,0
5,47,6,53,5,39,97,0,0
5,47,6,53,4,39,98,0,0
5,47,6,53,5,36,99,0,0
5,43,6,53,5,39,100,0,0
5,43,6,53,4,36,101,0,0
5,43,6,53,4,36,102,0,0
5,43,6,53,4,36,103,0,0
5,43,6,53,4,36,104,0,0
5,43,6,53,4,36,105,0,0
5,43,6,53,4,36,106,0,0
5,43,6,49,4,33,107,0,0
5,43,6,49,4,33,108,0,0
5,43,6,49,4,33,109,0,0
5,43,6,49,4,33,110,0,0
5,43,6,49,4,33,111,0,0
5,43,6,49,4,33,112,0,0
5,43,6,49,4,33,113,0,0
5,43,6,49,4,33,114,0,0
5,43,6,49,4,33,115,0,0
5,43,6,49,4,33,116,0,0
5,43,6,49,4,33,117,0,0
5,43,6,46,4,33,118,0,0
5,43,6,49,4,33,119,0,0
5,43,6,49,4,33,120,0,0
5,43,6,49,4,33,121,0,0
5,43,6,49,4,33,122,0,0
5,43,6,49,4,33,123,0,0
5,43,6,46,4,33,124,0,0
5,43,5,46,4,33,125,0,0
5,43,5,49,4,33,126,0,0
5,43,5,49,4,33,127,0,0
5,43,6,46,4,33,128,0,0
5,43,5,46,4,33,129,0,0
5,43,5,46,4,33,130,0,0
5,43,5,46,4,33,131,0,0
5,43,5,46,4,33,132,0,0
5,34,3,24,2,18,133,0,0
3,25,3,22,2,17,134,0,0
3,23,3,22,2,17,135,0,0
3,23,3,22,2,17,136,0,0
3,23,3,21,2,17,137,0,0
3,23,3,21,2,17,138,0,0
3,23,3,21,2,17,139,0,0
3,23,3,21,2,17,140,0,0
3,23,3,21,2,17,141,0,0
3,23,3,21,2,17,142,0,0
3,23,3,21,2,17,143,0,0
3,23,3,22,2,17,144,0,0
3,23,3,22,2,17,145,0,0
3,23,3,21,2,17,146,0,0
3,23,3,21,2,17,147,0,0
3,23,3,21,2,17,148,0,0
3,23,3,21,2,17,149,0,0
3,23,3,21,2,17,150,0,0
3,23,3,21,2,17,151,0,0
3,23,3,21,2,17,152,0,0
3,23,3,21,2,17,153,0,0
3,23,3,21,2,17,154,0,0
3,23,3,21,2,17,155,0,0
3,23,3,21,2,17,156,0,0
3,23,3,21,2,17,157,0,0
3,23,3,21,2,17,158,0,0
3,23,3,21,2,17,159,0,0
3,23,3,21,2,17,160,0,0
3,23,3,21,2,17,161,0,0
3,23,3,21,2,17,162,0,0
3,23,3,21,2,17,163,0,0
3,23,3,21,2,17,164,0,0
3,23,3,21,2,17,165,0,0
3,23,3,21,2,17,166,0,0
3,23,3,21,2,17,167,0,0
3,23,3,21,2,17,168,0,0
3,23,3,21,2,17,169,0,0
3,23,3,21,2,17,170,0,0
3,23,3,21,2,17,171,0,0
3,23,3,21,2,17,172,0,0
3,23,3,21,2,17,173,0,0
3,23,3,21,2,17,174,0,0
3,23,3,21,2,17,175,0,0
3,23,3,20,2,16,176,0,0
3,23,3,21,2,17,177,0,0
